Hesap Kodu;Açýklama
      760.01.09.00011;SÝPER KORUMA SÝGORTA GÝD.
      760.01.10.00008;DANIÞMANLIK GÝD.-PZ
      760.01.11.00001;OFÝS BAKIM ONARIM GÝD.
      760.01.11.00002;ARAÇ BAKIM ONARIM GÝD.
      760.01.11.00003;CEP TELEFONU ONARIM GÝD.
      760.01.11.00004;LAPTOP ONARIM GÝD.
      760.01.11.00006;BÝLGÝ ÝÞLEM BAKIM ONARIM GÝD.
      760.01.11.99999;DÝÐER DEMÝRBAÞ BAKIM ONARIM
      760.01.14.00001;KALÝTE ISO EÐÝTÝM GÝD.
      760.01.14.00002;ÝLKYARDIM EÐÝTÝM GÝD.
      760.01.14.00003;MESLEKÝ EÐÝTÝM GÝD.
      760.01.14.00004;EÐÝTÝM AMAÇLI ÞÝRKET TOPLANTI GÝD.
      760.01.30.00001;REKLAM TANITIM TOPLANTI GÝD.
      760.01.30.00002;KONGRE VE SEMPOZYUM GÝD.
      760.01.30.00003;TANITIM AMAÇLI HEDÝYE ALIMLARI
      760.01.30.00004;FACEBOOK GÝDERLERÝ
      760.01.30.00005;SAFEZONE DERGÝ GÝDERLERÝ
      760.01.30.00006;SOSYAL MEDYA ÇALIÞMALARI
      760.01.51.00003;NOTER GÝD.
      760.01.51.00008;VERGÝ RESÝM VE HARÇ GÝD.
      760.01.51.00009;SÖZLEÞMELERDEN KAYNAKLANAN GÝD.
      760.01.51.00010;MARKA TESCÝL VE LÝSANSLAMA GÝDERÝ
      761.01.01.00001;PAZARLAMA SATIÞ VE DAÐIT.GÝD. YANSITMA HESABI
      770.01.01.00001;BRÜT ÜCRET GÝD.
      770.01.01.00002;SGK ÝÞVEREN PAYI PRÝMÝ GÝD.
      770.01.01.00003;ÝÞSÝZLÝK ÝÞVEREN PAYI GÝD.
      770.01.01.00004;KIDEM TAZMÝNATI GÝD.
      770.01.01.00005;ÝHBAR TAZMÝNATI GÝD.
      770.01.01.00006;YILLIK ÝZÝN GÝD.
      770.01.01.00007;YEMEK KART GÝD.
      770.01.01.00008;MÝGROS KART
      770.01.01.00009;PERS. OPET ARAÇ YAKIT GÝD.
      770.01.01.00010;HARCIRAH GÝD.
      770.01.01.00011;PERSONEL ÝLAÇ SAÐLIK  GÝD.
      770.01.01.00012;GEÇMÝÞ DÖNEM SGK PRÝM
      770.01.01.00013;GEÇMÝÞ DÖNEM ÝÞSÝZLÝK PRÝM
      770.01.01.00014;GEÇMÝÞ DÖNEM ÜCRET-KIDEM-ÝHBAR-ÝZÝN- GÝDERLERÝ
      770.01.01.00015;TELÝF HAKKI ÖDEMELERÝ
      770.01.01.99999;DÝÐER PERS. GÝD. (MF)
      770.01.02.00001;TAÞIMA SERVÝS GÝD.
      770.01.02.00002;APRON KARTI GÝD.
      770.01.02.00003;PER. YEMEK GÝD.
      770.01.02.00004;MUTFAK ET GÝD.
      770.01.02.00005;KIYAFET ÜNÝFORMA GÝD. (POLAR/PANTOLON/HEMÞÝRE KIY.)
      770.01.02.00015;KKD (BARET/KEMER/YELEK/AYAKKABI) ALIMLARI
      770.01.02.00016;GM PERSONELÝ  DESTEK PAKETÝ
      770.01.02.00017;PER.ABONMAN YOL MASRAFI
      770.01.02.00018;PER.YILBAÞI HEDÝYE NÝTELÝKLÝ GÝD.
      770.01.02.00020;PER.DOKTORNOW HÝZMETÝ
      770.01.03.00001;OFÝS KÝRA GÝD.
      770.01.03.00002;LOJMAN KÝRA GÝD.
      770.01.04.00001;AÝDAT GÝD.
      770.01.04.00002;ELEKTRÝK GÝD.
      770.01.04.00003;DOÐALGAZ VE ISINMA GÝD.
      770.01.04.00004;SU GÝD.
      770.01.04.00005;KARGO KURYE POSTA GÝD.
      770.01.04.00006;MUTFAK VE TEMÝZLÝK GÝD.
      770.01.04.00007;KIRTASÝYE GÝD.
      770.01.04.00008;BASILI EVRAK GÝD.
      770.01.04.00009;NAKLÝYE HAMMALÝYE GÝD.
      770.01.04.00010;TEMSÝL VE AÐIRLAMA GÝD.
      770.01.04.00011;KÜÇÜK DEMÝRBAÞ GÝD.
      770.01.04.00012;PRINTER BASKI GÝD.
      770.01.04.00013;ÞÝRKET TOPLANTI VE YEMEKLERÝ GÝD.
      770.01.05.00001;TELEFON GÝD.
      770.01.05.00002;CEP TELEFONU GÝD.
      770.01.05.00003;TELSÝZ ÝLETÝÞÝM GÝD.
      770.01.05.00004;ÝNTERNET/ADSL/FÝBER GÝD.
      770.01.05.00005;UZAKTAN SANAL TOPLANTI LÝSANS GÝD.-ZOOM
      770.01.05.00006;SANTRAL GÝD.
      770.01.05.00007;MÜÞTERÝ TEDARÝKÇÝ SÝSTEM KULLANIM BEDELÝ
      770.01.05.00008;TOPLU SMS/E MAÝL HÝZMET GÝDERÝ
      770.01.05.00009;UZAKTAN SANAL TOPLANTI LÝSANS GÝD.-MAILGRAF
      770.01.06.00001;ULAÞIM GÝD.-YURT ÝÇÝ ULAÞIM
      770.01.06.00002;ULAÞIM GÝD.-YURT DIÞI ULAÞIM
      770.01.06.00003;KONAKLAMA GÝD.-YURT ÝÇÝ OTEL
      770.01.06.00004;KONAKLAMA GÝD.-YURT DIÞI OTEL
      770.01.06.00005;UÇAK GÝD.-YURT ÝÇÝ UÇUÞLAR
      770.01.06.00006;UÇAK GÝD.-YURT DIÞI UÇUÞLAR
      770.01.06.00007;VÝZE VE SEYAHAT HÝZMET GÝD.
      770.01.06.00008;YURTDIÞI DÝÐER SEYAHAT GÝD.(YEMEK TAKSÝ DÝÐER)
      770.01.07.00001;ARAÇ KÝRALAMA GÝD.-UZUN DÖNEM
      770.01.07.00002;ARAÇ KÝRALAMA GÝD.-GÜNLÜK
      770.01.07.00005;ARAÇ YAKIT GÝD.
      770.01.07.00006;ARAÇ HGS / OGS GEÇÝÞ GÝD.
      770.01.07.00007;ARAÇ MUAYENE GÝD.
